,x,y,strategy,t_factor
354,372,384,divDistBased,t1
355,372,734,divDistBased,t1
356,372,381,divDistBased,t1
357,372,456,divDistBased,t1
358,372,387,divDistBased,t1
359,372,1246,divDistBased,t1
360,372,1264,divDistBased,t1
361,372,387,divDistBased,t1
362,372,1180,divDistBased,t1
363,372,456,divDistBased,t1
364,372,381,divDistBased,t1
365,372,384,divDistBased,t1
366,372,456,divDistBased,t1
367,372,752,divDistBased,t1
368,372,718,divDistBased,t1
369,372,651,divDistBased,t1
370,372,1264,divDistBased,t1
371,372,712,divDistBased,t1
372,372,387,divDistBased,t1
373,372,456,divDistBased,t1
374,372,384,divDistBased,t1
375,372,651,divDistBased,t1
376,372,1264,divDistBased,t1
377,372,456,divDistBased,t1
378,372,456,divDistBased,t1
379,372,651,divDistBased,t1
380,372,456,divDistBased,t1
381,372,651,divDistBased,t1
382,372,387,divDistBased,t1
383,372,387,divDistBased,t1
384,372,712,divDistBased,t1
385,372,1184,divDistBased,t1
386,372,456,divDistBased,t1
387,372,752,divDistBased,t1
388,372,718,divDistBased,t1
389,372,390,divDistBased,t1
390,372,651,divDistBased,t1
391,372,651,divDistBased,t1
392,372,738,divDistBased,t1
393,372,934,divDistBased,t1
394,372,456,divDistBased,t1
395,372,465,divDistBased,t1
396,372,384,divDistBased,t1
397,372,384,divDistBased,t1
398,372,456,divDistBased,t1
399,372,752,divDistBased,t1
400,465,456,divDistBased,t1
401,465,456,divDistBased,t1
402,465,752,divDistBased,t1
403,465,1264,divDistBased,t1
404,465,752,divDistBased,t1
405,465,752,divDistBased,t1
406,465,606,divDistBased,t1
407,465,387,divDistBased,t1
408,465,752,divDistBased,t1
409,465,752,divDistBased,t1
410,465,456,divDistBased,t1
411,465,1246,divDistBased,t1
412,465,752,divDistBased,t1
413,465,1314,divDistBased,t1
414,465,651,divDistBased,t1
415,465,384,divDistBased,t1
416,465,1246,divDistBased,t1
417,465,752,divDistBased,t1
418,465,752,divDistBased,t1
419,465,744,divDistBased,t1
420,465,1002,divDistBased,t1
421,465,651,divDistBased,t1
422,465,615,divDistBased,t1
423,465,718,divDistBased,t1
424,465,1326,divDistBased,t1
425,465,456,divDistBased,t1
426,465,752,divDistBased,t1
427,465,752,divDistBased,t1
428,465,752,divDistBased,t1
429,465,1016,divDistBased,t1
430,465,734,divDistBased,t1
431,465,384,divDistBased,t1
432,465,1264,divDistBased,t1
433,465,980,divDistBased,t1
434,465,387,divDistBased,t1
435,465,752,divDistBased,t1
436,465,1264,divDistBased,t1
437,465,651,divDistBased,t1
438,465,718,divDistBased,t1
439,465,1188,divDistBased,t1
440,465,381,divDistBased,t1
441,465,384,divDistBased,t1
442,465,642,divDistBased,t1
443,465,1246,divDistBased,t1
444,465,718,divDistBased,t1
445,465,456,divDistBased,t1
446,465,752,divDistBased,t1
447,465,1264,divDistBased,t1
448,465,387,divDistBased,t1
449,465,651,divDistBased,t1
450,465,456,divDistBased,t1
451,465,456,divDistBased,t1
452,465,1264,divDistBased,t1
453,465,1400,divDistBased,t1
454,465,456,divDistBased,t1
455,465,750,divDistBased,t1
456,465,752,divDistBased,t1
457,465,718,divDistBased,t1
458,465,390,divDistBased,t1
459,465,1264,divDistBased,t1
460,465,1306,divDistBased,t1
461,465,752,divDistBased,t1
462,465,1400,divDistBased,t1
463,465,465,divDistBased,t1
464,465,384,divDistBased,t1
465,465,387,divDistBased,t1
466,465,564,divDistBased,t1
467,465,980,divDistBased,t1
468,465,752,divDistBased,t1
469,465,1264,divDistBased,t1
470,465,1400,divDistBased,t1
471,465,752,divDistBased,t1
472,465,390,divDistBased,t1
473,465,462,divDistBased,t1
474,465,387,divDistBased,t1
475,465,752,divDistBased,t1
476,465,1306,divDistBased,t1
477,465,1264,divDistBased,t1
478,465,718,divDistBased,t1
479,465,1246,divDistBased,t1
480,465,734,divDistBased,t1
481,465,748,divDistBased,t1
482,465,718,divDistBased,t1
483,465,752,divDistBased,t1
484,465,752,divDistBased,t1
485,465,1258,divDistBased,t1
486,465,1264,divDistBased,t1
487,465,1006,divDistBased,t1
488,465,752,divDistBased,t1
489,465,456,divDistBased,t1
490,465,752,divDistBased,t1
491,465,738,divDistBased,t1
492,465,1174,divDistBased,t1
493,465,1174,divDistBased,t1
494,465,1264,divDistBased,t1
495,465,718,divDistBased,t1
496,465,456,divDistBased,t1
497,465,456,divDistBased,t1
498,465,651,divDistBased,t1
499,465,1246,divDistBased,t1
500,559,752,divDistBased,t1
501,559,477,divDistBased,t1
502,559,1246,divDistBased,t1
503,559,1400,divDistBased,t1
504,559,1264,divDistBased,t1
505,559,1188,divDistBased,t1
506,559,718,divDistBased,t1
507,559,456,divDistBased,t1
508,559,980,divDistBased,t1
509,559,1264,divDistBased,t1
510,559,718,divDistBased,t1
511,559,1264,divDistBased,t1
512,559,1400,divDistBased,t1
513,559,1320,divDistBased,t1
514,559,752,divDistBased,t1
515,559,718,divDistBased,t1
516,559,1264,divDistBased,t1
517,559,1146,divDistBased,t1
518,559,772,divDistBased,t1
519,559,970,divDistBased,t1
520,559,1264,divDistBased,t1
521,559,712,divDistBased,t1
522,559,752,divDistBased,t1
523,559,752,divDistBased,t1
524,559,1390,divDistBased,t1
525,559,651,divDistBased,t1
526,559,1264,divDistBased,t1
527,559,1246,divDistBased,t1
528,559,1264,divDistBased,t1
529,559,1264,divDistBased,t1
530,559,752,divDistBased,t1
531,559,387,divDistBased,t1
532,559,1364,divDistBased,t1
533,559,1326,divDistBased,t1
534,559,390,divDistBased,t1
535,559,1264,divDistBased,t1
536,559,1400,divDistBased,t1
537,559,752,divDistBased,t1
538,559,752,divDistBased,t1
539,559,1400,divDistBased,t1
540,559,651,divDistBased,t1
541,559,387,divDistBased,t1
542,559,752,divDistBased,t1
543,559,1400,divDistBased,t1
544,559,744,divDistBased,t1
545,559,752,divDistBased,t1
546,559,1424,divDistBased,t1
547,559,1306,divDistBased,t1
548,559,456,divDistBased,t1
549,559,968,divDistBased,t1
